Package,Parallelism,T,N,Time,Speedup
parallel,total,128,2,72.7,2.0033012379642363
parallel,total,128,4,38.24,3.80857740585774
parallel,total,128,8,20.381,7.145871154506648
monad-par,partial,256,1,328.73,1.0
monad-par,partial,256,2,168.87,1.9466453484929236
monad-par,partial,256,4,92.261,3.5630439730763817
monad-par,partial,256,8,50.141,6.556111764823199
monad-par,total,256,1,328.93,1.0
monad-par,total,256,2,165.97,1.981864192323914
monad-par,total,256,4,88.072,3.734785175765283
monad-par,total,256,8,48.941,6.720949714962915
parallel,partial,256,1,329.69,1.0
parallel,partial,256,2,166.79,1.9766772588284671
parallel,partial,256,4,92.33,3.570778728473952
parallel,partial,256,8,53.241,6.192408106534438
parallel,total,256,1,332.11,1.0
parallel,total,256,2,165.99,2.000783179709621
parallel,total,256,4,86.9,3.8217491369390104
parallel,total,256,8,46.101,7.203965206828486
monad-par,partial,512,1,654.86,1.0
monad-par,partial,512,2,334.95,1.955097775787431
monad-par,partial,512,4,178.1,3.676923076923077
monad-par,partial,512,8,97.681,6.704067321178121
monad-par,total,512,1,654.95,1.0
monad-par,total,512,2,330.98,1.978820472536105
monad-par,total,512,4,175.682,3.728042713539236
monad-par,total,512,8,99.07,6.610982133844757
parallel,partial,512,1,655.08,1.0
parallel,partial,512,2,332.76,1.9686260367832673
parallel,partial,512,4,180.08,3.6377165704131498
parallel,partial,512,8,100.231,6.535702527162256
parallel,total,512,1,655.36,1.0
parallel,total,512,2,329.03,1.9917940613317937
parallel,total,512,4,172.61,3.7967672788366835
parallel,total,512,8,91.47,7.164753471083416
monad-par,partial,1024,1,1273.32,1.0
monad-par,partial,1024,2,650.02,1.9588935725054613
monad-par,partial,1024,4,346.21,3.6778833655873604
monad-par,partial,1024,8,190.831,6.672500799136409
monad-par,total,1024,1,1280.65,1.0
monad-par,total,1024,2,648.65,1.9743313034764514
monad-par,total,1024,4,340.34,3.7628547922665576
monad-par,total,1024,8,206.621,6.198063120399185
parallel,partial,1024,1,1282.95,1.0
parallel,partial,1024,2,651.5,1.969224865694551
parallel,partial,1024,4,342.63,3.7444181770422906
parallel,partial,1024,8,186.21,6.889801836636056
parallel,total,1024,1,1283.61,1.0
parallel,total,1024,2,658.96,1.947933106713609
parallel,total,1024,4,337.43,3.80407788282014
parallel,total,1024,8,187.151,6.858686301435738
